name,scientific_name,short_description,what_is_it,what_does_it_do,who_is_it_good_for,who_should_avoid,url
Dioic Acid,,"Dioic acid is a naturally-occurring acid found in plant and animal fats/oils. It is used in skincare for its ability to regulate sebum production in the skin, as well as its antibacterial action against acne-causing C. Acnes bacteria. It has also been shown to visibly reduce hyperpigmentation, with results being comparable to that of hydroquinone (the gold standard prescription for treating hyperpigmentation).","Dioic acid, also known as sebacic acid, is a naturally occurring dicarboxylic acid derived from certain vegetable oils or animal fats. It is used in skincare for its potential benefits in controlling excess oil production and addressing acne-prone skin.","Dioic acid offers benefits such as:
- Helps regulate sebum production, making it beneficial for individuals with oily or acne-prone skin.
- Assists in reducing the appearance of enlarged pores, contributing to a smoother skin texture.
- Offers potential anti-inflammatory effects, helping to calm redness and irritation associated with acne.
- May improve overall skin clarity and tone, promoting a more even complexion.","[' ', 'Acne', ' ', 'Pigmentation', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/dioic-acid
Cucumber Extract,,"Cucumber extract, also known as cucumis sativus (cucumber) fruit extract, cucumis sativus or cucumber fruit extract, provides natural antioxidant protection against free radicals. It is comprised of 95% water, plus small concentrations of ascorbic acid (vitamin c), caffeic acid (an antioxidant), fatty acids and silica (mineral required for healthy skin, hair & nails).","Cucumber extract is derived from the fruit of the cucumber plant, Cucumis sativus. It is used in skincare for its potential hydrating, soothing, and skin-conditioning properties.","Cucumber extract offers benefits such as:
- Provides excellent hydration, helping to moisturize and refresh the skin.
- Offers soothing and calming effects, making it beneficial for irritated or sensitive skin.
- Contains antioxidant properties, assisting in neutralizing free radicals and protecting the skin from environmental damage.
- Can improve the skin's overall texture, leaving it feeling soft and supple.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/cucumber-extract
Dipeptide Diaminobutyroyl Benzylamide Diacetate,,"Dipeptide diaminobutyroyl benzylamide diacetate is an anti-ageing peptide, seen as an ingredient that makes skincare 'botox in a bottle'.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/dipeptide-diaminobutyroyl-benzylamide-diacetate
Dipeptide,,"Dipeptide is an anti-ageing peptide, which facilitates the skin’s healing process and makes the skin firmer.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide.  ","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/dipeptide
Copper Peptide,,"Copper peptides are a family of ingredients also known as copper tripeptide growth factor, tripeptide and copper peptide. They are used in skincare as an anti-ageing ingredient. As with most peptides, it works by activating a receptor in the skin to perform a certain function, e.g. produce more collagen. Studies have shown copper peptide to have a positive impact on skin density, firmness and depth of fine lines and wrinkles.","Copper peptide is a combination of copper and peptides, which are short chains of amino acids. It is used in skincare for its potential anti-aging, skin-repairing, and wound-healing properties.","Copper peptide offers benefits such as:
- Supports skin rejuvenation and anti-aging efforts by promoting collagen production and increasing skin elasticity.
- Provides antioxidant benefits, helping to protect the skin from free radicals and oxidative damage.
- Assists in wound healing and tissue repair, making it beneficial for post-inflammatory hyperpigmentation and scar reduction.
- Can enhance the skin's overall texture and tone, promoting a smoother and more youthful appearance.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/copper-peptide
Copper Palmitoyl Heptapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines. Peptides are made up of amino acids, and are unique in shape, with a huge variety available to target specific responses in the body.","Copper palmitoyl heptapeptide-14 is a type of copper peptide which is made from copper, palmitic acid and peptides. It used in skincare for its ability to minimise visible signs of ageing in the skin. According to the manufacturer, it has been proven to effectively increase the production of collagen and elastin in the skin, to improve the appearance of wrinkles.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/copper-palmitoyl-heptapeptide
Copper Heptapeptide-14 Pantothenate,,"It encapsulates copper peptides and reduces wrinkles. It helps gene expression of collagen & elastin and increases elasticity.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, arginine/lysine polypeptide, azelaoyl bis-dipeptide, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. ","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/copper-heptapeptide-14-pantothenate
Coffee Seed Extract,,"Also known as coffea arabica (coffee) seed extract, this natural extract, derived from coffee beans, is high in antioxidants so first and foremost, offers protection against free radical damage. Studies have also shown this to have restorative properties, resulting in a healthier, smoother skin feel, as well as potentially improving the skin’s ability to retain moisture.","Coffee seed extract is derived from the seeds (beans) of the coffee plant. It is used in skincare for its potential antioxidant, anti-inflammatory, and skin-energizing properties.","Coffee seed extract offers benefits such as:
- Provides antioxidant protection, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Exhibits potential anti-inflammatory effects, assisting in soothing and calming the skin.
- Contains caffeine, which may help improve circulation and temporarily reduce the appearance of puffiness.
- Offers potential skin-energizing benefits, contributing to a refreshed and awakened complexion.","[' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/coffee-seed-extract
Citric Acid,,"Citric acid (in dilution) is often used in tiny quantities to adjust the pH of a formula to be more acidic. In higher doses, it acts as an Alpha Hydroxy Acid (AHA), encouraging the skin’s natural exfoliation process to brighten, smooth and refine overall skin texture.","Citric acid is a naturally occurring organic acid found in various fruits, particularly citrus fruits like lemons, oranges, and limes. It is used in skincare for its potential exfoliating, pH-adjusting, and antioxidant properties.","Citric acid offers benefits such as:
- At higher concentrations, it provides exfoliating benefits, helping to remove dead skin cells and promote a smoother, more radiant complexion.
- Assists in adjusting the pH level of skincare products, ensuring their effectiveness and compatibility with the skin's natural pH.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/citric-acid
Cinnamon Bark,,"Cinnamon bark, also known as cinnamomum zeylanicum bark extract, acts as a natural antibacterial to help prevent the growth of acne-causing bacteria. It is also thought to regulate sebum production to prevent pores from becoming blocked. As it is a plant extract, it is naturally high in antioxidants which offer the skin protection against free radical damage.","Cinnamon bark extract is derived from the bark of the cinnamon tree, Cinnamomum verum or Cinnamomum cassia. It is used in skincare for its potential antioxidant, antimicrobial, and soothing properties.","Cinnamon bark extract offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative damage.
- Exhibits potential antimicrobial properties
- May offer soothing effects, helping to reduce redness and irritation.","[' ', 'Acne', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/cinnamon-bark
Fomes Ofﬁcinalis (Mushroom) Extract,,Fomes ofﬁcinalis is in a class of ingredients also known as mushroom extract and polyporus umbellatus (mushroom) extract,"It is an active and it has astringent, pore tightening and moisturising effects on the skin.","It helps even your skin’s tone and firmness, and it drastically helps to clear pores and minimise the visible appearance of skin suffering from excess sebum secretion.","[' ', 'Enlarged Pores', ' ', 'Oily', ' ', 'Radiance']","[' ', 'Related Allergy']",https://renude.co/ingredients/fomes-officinalis-mushroom-extract
Ginkgo Biloba,,"Ginkgo Biloba is a tree native to Asia, one of the oldest plant species on the planet, and rich in flavonoids and terpenoids. These provide powerful antioxidant protection, reducing potential damage caused by reactive free radicals. Studies have also shown Ginkgo Biloba to provide skin-smoothing and hydrating properties.","Ginkgo biloba extract is derived from the leaves of the Ginkgo biloba tree, one of the oldest tree species on Earth. It is used in skincare for its potential antioxidant, anti-inflammatory, and skin-protective properties.","Ginkgo biloba offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation.
- Supports the skin's natural defense against environmental stressors, such as UV radiation and pollution.
- May help improve overall skin tone and texture, promoting a more radiant complexion.","[' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/ginkgo-biloba
Fructooligosaccharides,,"Fructooligosaccharides are in a class of prebiotic ingredients also found on ingredients lists as alpha-glucan oligosaccharide, fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract.

Prebiotics are a class of ingredients which can be found on ingredients lists as alpha-glucan oligosaccharide, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract. ","Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteria that contribute to skin health.","Prebiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.
- Support the skin's natural defenses against harmful microorganisms, contributing to overall skin health.
- Enhance the skin's barrier function, reducing moisture loss and improving hydration.
- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/fructooligosaccharides
Feverfew Extract,,"Feverfew has been used in ancient medicine for centuries to treat everything from headaches, constipation, vertigo, worms, spasms & arthritis. One of the oil-soluble flavonoids, Tanetin, has been shown to modulate inflammatory responses in the body, whilst other flavonoids provide antioxidant protection.","Feverfew extract is derived from the leaves and flowers of the feverfew plant (Tanacetum parthenium). It is used in skincare for its potential anti-inflammatory, soothing, and skin-calming properties.","Feverfew extract offers benefits such as:
- Exhibits potential anti-inflammatory effects, helping to calm redness and irritation on the skin.
- Assists in soothing sensitive or reactive skin, making it beneficial for those with skin conditions like rosacea or eczema.
- Provides antioxidant benefits, helping to neutralize free radicals and protect the skin from environmental damage.
- Can enhance the overall appearance of the skin, promoting a more even and balanced complexion.","[' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/feverfew-extract
Ferulic Acid,,"Ferulic acid is a naturally occurring acid found in plants, such as bran. It is used in skincare for its antioxidant properties, meaning it can neutralise free radicals before they can cause any cellular damage. It has also been shown to stabilise Vitamins C and E when used in combination, resulting in a boost in their efficacy vs being used without the addition of Ferulic acid.","Ferulic acid is a plant-based antioxidant that occurs naturally in various fruits, vegetables, grains, and seeds. It is used in skincare for its potential antioxidant, anti-aging, and skin-protective properties.","Ferulic acid offers benefits such as:
- Provides powerful antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Enhances the stability and effectiveness of other antioxidants, maximizing their protective capabilities.
- May help protect the skin from UV-induced damage, although it is not a substitute for sunscreen.
- Assists in promoting a more even skin tone and reducing the appearance of hyperpigmentation.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/ferulic-acid
Ethylhexyl Triazone,,"Ethylhexyl Triazone is a synthetic UV filter offering protection against the full UVB wavelength spectrum 280-320 nm. 

Other ingredients in the class of synthetic UV filters include bis-ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, ethylhexyl salicylate,, homosalate, octinoxate, octisalate, octocrylene and triazine diethyl butamidotriazone.","Ethylhexyl Triazone is a synthetic sunscreen ingredient used in sun care products to protect against UVB rays. It is an extremely photo stable ingredient which doesn't degrade on exposure to UV light, as many other UV filters do.","Ethylhexyl Triazone offers SPF protection via absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body. It is an oil soluble, odourless and colourless powder that works well in fragrance-free formulations.","[' ', 'UV Protection']","[' ', 'Pregnancy', ' ', 'Sensitive']",https://renude.co/ingredients/ethylhexyl-triazone
Ferric Hexapeptide,,"Ferric hexapeptide is an anti-ageing peptide and is used in skincare to treat fine lines and wrinkles. 

It is in a class of ingredients also found on ingredients lists as acetylarginyltryptophyl diphenylglycine, acetyl tetrapeptide, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. ","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/ferric-hexapeptide
Fernblock,,"Known as FernBlock, this is a patented active from Heliocare, developed alongside Harvard medical school. It is derived from a tropical fern native to South America, and works by protecting against UVB-induced sunburn, as well as protecting against UVA and Infrared wavelengths. The active is also able to support cell renewal and protect from cumulative damage caused by sun exposure (such as ageing and DNA damage). It is an antioxidant, protecting against free radicals, and has been shown to boost production of collagen, elastin and hyaluronic acid in the skin.","FernBlock, a patented active developed in collaboration with Harvard Medical School by Heliocare, is derived from a tropical fern native to South America. It provides comprehensive sun protection against UVB-induced sunburn, UVA, and Infrared wavelengths, supporting cell renewal, defending against cumulative sun damage, and promoting collagen, elastin, and hyaluronic acid production for healthier, more youthful skin.","FernBlock offers benefits such as:
- Provides antioxidant benefits, helping to neutralize free radicals and reduce oxidative stress on the skin.
- Thought to support hyaluronic acid production in the skin, assisting in promoting plump skin and smoothing fine lines.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/fernblock
Evening Primrose Oil,,"Evening primrose oil is derived from the seeds of the Oenothera biennis plant. It is naturally rich in omega-6, which provides anti-inflammatory benefits, as well as supports the skin's natural lipid barrier. Evening primrose oil also acts as an antioxidant to offer protection against free radical damage.","Evening primrose oil is a plant-based oil extracted from the seeds of the evening primrose plant (Oenothera biennis). It is used in skincare for its potential anti-inflammatory, moisturizing, and skin-nourishing properties.","Evening primrose oil offers benefits such as:
- Provides excellent moisturization, helping to nourish and hydrate the skin.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation.
- Supports the skin's natural barrier function, promoting a smoother and more supple complexion.
- Can be beneficial for skin conditions like eczema and dermatitis due to its hydrating and soothing properties.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/evening-primrose-oil
Essential Lipids,,"The outer layer of the skin, the stratum corneum, has a multilamellar structure (essentially a fine membrane), made up of lipids (fats), to form a non-permeable barrier. This keeps water inside the skin, and acts as the first defense against external aggressors. Using lipids in skincare helps to support the natural skin barrier, preventing water-loss to keep skin hydrated and balanced.

Essential lipids are a class of ingredients also known as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycolipids, glycoproteins, glycosphingolipids, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/essential-lipids
Endothelyol,,"Endothelyol is used in skincare to target redness and rosacea. It provides a soothing effect by regulating inflammatory processes in the skin, as well as reducing visible redness via encouraging microcirculation (blood flow in the capillaries). It has been proven to reduce rosacea symptoms after 28 days daily use.","Endothelyol is a skincare ingredient known for its potential anti-redness and anti-inflammatory properties. It is derived from a plant extract and is commonly used to help soothe and calm irritated skin, reducing redness and promoting a more even complexion.","Endothelyol offers benefits such as:
- Reduces Redness: Endothelyol helps to visibly reduce redness and inflammation in the skin, making it ideal for individuals with sensitive or reactive skin types.
- Anti-Inflammatory: It possesses potent anti-inflammatory properties, helping to soothe and calm irritated skin, minimizing discomfort and sensitivity.","[' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/endothelyol
Ethylhexyl Salicylate,,"Ethylhexyl Salicylate is a synthetic UV filter used in sun care products to protect against UVB radiation to offer SPF protection to the skin. 

Other ingredients in the class of synthetic UV filters include bis-ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, ethylhexyl triazone, homosalate, octinoxate, octisalate, octocrylene and triazine diethyl butamidotriazone.",Ethylhexyl Salicylate is a synthetic sunscreen ingredient is used in sun care products to offer SPF protection to the skin. It is a colourless to light yellowish oily liquid and is able to absorb UVB radiation.,"Ethylhexyl Salicylate protects against UVB rays (280-320 nm) with a peak absorbance at 306 nm. It's not a strong filter in itself, it's always used in combination with other sunscreen agents to further enhance the SPF and to solubilise other solid UV filters.","[' ', 'UV Protection']","[' ', 'Pregnancy', ' ', 'Sensitive']",https://renude.co/ingredients/ethylhexyl-salicylate
Ethyl Ascorbic Acid,,"Part of the Vitamin C family of ingredients, L-ascorbic acid is designed to improve its stability and skin penetration abilities, to achieve optimum skin benefits. Once absorbed into the skin, the ethyl group is removed, and l-ascorbic acid is returned to its active form, where it can best support the skin to achieve visible brightening & anti-ageing results.

Vitamin C can also be found on ingredients lists as ascorbic acid, ascorbyl glucoside, ascorbyl palmitate, l-ascorbic acid, magnesium ascorbyl phosphate, sodium ascorbyl phosphate and tetrahexyldecyl ascorbate.","Ethyl Ascorbic Acid is a stable, water- and oil-soluble derivative of pure vitamin C.","It is used in skincare to brighten, treat wrinkles, firm the skin, fade hyperpigmentation and offset numerous triggers of environmental damage.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Radiance', ' ', 'Wrinkles']","[' ', 'Related Allergy', ' ', 'Impaired skin barrier']",https://renude.co/ingredients/ethyl-ascorbic-acid
Green Tea,,"Green Tea is a natural plant extract, rich in polyphenols, also known as catechins. Green Tea is particularly high in the catechin Epigallocatechin-3-gallate (EGCG), which is a powerful antioxidant, meaning it can neutralise free radicals to prevent them causing damage within the skin.","Green tea extract is derived from the leaves of the Camellia sinensis plant. It is used in skincare for its powerful antioxidant, anti-inflammatory, and soothing properties.","Green tea  offers benefits such as:
- Provides potent antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative damage.
- Exhibits potential anti-inflammatory effects, assisting in calming redness and irritation on the skin.
- Can help soothe and alleviate skin conditions like acne and rosacea.
- Supports overall skin health and can contribute to a more radiant and even complexion.","[' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/green-tea
Glycosphingolipids,,"Glycosphingolipids are naturally occurring in the skin and are involved in the skin’s natural ceramide-production process. 

It in the class of essential lipids, and can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycolipids, glycoproteins, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/glycosphingolipids
Glycoproteins,,"Glycoproteins is in the class of essential lipids, they can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycolipids, glycosphingolipids, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/glycoproteins
Glycolipids,,"Glycolipids are made up of a sugar monomer (monosaccharide) and a lipid. This is the umbrella term encompassing ceramides, sphingoids & sterols.

Glycolipids is in the class of essential lipids, it can be found on ingredient lists as caprooyl phytosphingosine, caprooyl sphingosine, cholesterol, glycoproteins, glycosphingolipids, lecithin, linoleic acid, linolenic acid, phospholipids and phytosphingosine.","Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health. ","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving It's ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier']","[' ', 'Related Allergy']",https://renude.co/ingredients/glycolipids
Golden-Eye Grass Complex,,"An antioxidant and anti-inflammatory plant extract which has been shown to balance the pH of the skin, keeping the natural lipid barrier functioning at its best and therefore providing protection against environmental stressors.","An antioxidant and anti-inflammatory plant extract which has been shown to balance the pH of the skin, keeping the natural lipid barrier functioning at its best and therefore providing protection against environmental stressors.","Golden eye grass complex offers benefits such as:
- Provides antioxidant benefits, neutralising free radicals and preventing damage from environmental stressors.
- Improves skin barrier function.","[' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/golden-eye-grass-complex
Glycolic Acid,,"Glycolic acid is an alpha hydroxy acid (AHA), derived from sugar cane. AHAs work by dissolving the keratin binding the outermost layer of skin cells, speeding up the skin’s natural exfoliation process. This leads to smoother, brighter, clearer skin, whilst reducing skin discolouration & fine lines/wrinkles with continued use.

Glycolic acid has the smallest molecular weight of all the AHAs, meaning it can penetrate the skin quickest, producing the fastest results, but also most likely to cause skin sensitivity, so it is best for those with fairly tolerant skin types.","Glycolic acid is a type of alpha hydroxy acid (AHA) derived from sugarcane or synthesized from other natural sources. It is used in skincare for its potential exfoliating, brightening, and skin-renewing properties.","Glycolic acid offers benefits such as:
- Provides chemical exfoliation by dissolving dead skin cells on the skin's surface, promoting a smoother and more even skin texture.
- Assists in improving the appearance of fine lines, wrinkles, and hyperpigmentation by stimulating collagen production and skin cell turnover.
- Can help unclog pores and reduce the occurrence of acne and blackheads.
- Enhances the absorption and effectiveness of other skincare ingredients in products applied afterward.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Impaired skin barrier']",https://renude.co/ingredients/glycolic-acid
Glycine,,"Glycine is an amino acid that is found in glycerine and collagen, which are ingredients in many skincare products.  Glycine can improve the visible signs of aging, moisture retention, collagen production and regeneration.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine,acetyl tyrosinamide, alanine, arginine hcl, arginine pca, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","Glycine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ","Glycine can improve the visible signs of aging, moisture retention, collagen production and regeneration.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Texture', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/glycine
